id,count,unique_hashes,all_identical,created_list,updated_list,revisions,titles
3308048,2,1,True,2019-07-10T19:09:46.090716+00:00|2019-07-10T19:09:46.090716+00:00,2020-09-28T18:57:41.917719+00:00|2020-09-28T18:57:41.917719+00:00,8|8,Binary black-hole simulation SXS:BBH:1705 | Binary black-hole simulation SXS:BBH:1705
3308063,2,1,True,2019-07-10T19:10:25.077835+00:00|2019-07-10T19:10:25.077835+00:00,2020-09-28T18:57:37.512413+00:00|2020-09-28T18:57:37.512413+00:00,8|8,Binary black-hole simulation SXS:BBH:1691 | Binary black-hole simulation SXS:BBH:1691
3308080,2,1,True,2019-07-10T19:11:09.361094+00:00|2019-07-10T19:11:09.361094+00:00,2020-09-28T18:57:33.218732+00:00|2020-09-28T18:57:33.218732+00:00,8|8,Binary black-hole simulation SXS:BBH:1996 | Binary black-hole simulation SXS:BBH:1996
3308095,2,1,True,2019-07-10T19:11:44.129062+00:00|2019-07-10T19:11:44.129062+00:00,2020-09-28T18:57:28.965978+00:00|2020-09-28T18:57:28.965978+00:00,8|8,Binary black-hole simulation SXS:BBH:1539 | Binary black-hole simulation SXS:BBH:1539
3308110,2,1,True,2019-07-10T19:12:19.769677+00:00|2019-07-10T19:12:19.769677+00:00,2020-09-28T18:57:24.689879+00:00|2020-09-28T18:57:24.689879+00:00,8|8,Binary black-hole simulation SXS:BBH:1731 | Binary black-hole simulation SXS:BBH:1731
3308123,2,1,True,2019-07-10T19:12:49.354419+00:00|2019-07-10T19:12:49.354419+00:00,2020-09-28T18:56:30.879130+00:00|2020-09-28T18:56:30.879130+00:00,8|8,Binary black-hole simulation SXS:BBH:1529 | Binary black-hole simulation SXS:BBH:1529
3308134,2,1,True,2019-07-10T19:13:13.891398+00:00|2019-07-10T19:13:13.891398+00:00,2020-09-28T18:56:26.636240+00:00|2020-09-28T18:56:26.636240+00:00,8|8,Binary black-hole simulation SXS:BBH:1896 | Binary black-hole simulation SXS:BBH:1896
3308147,2,1,True,2019-07-10T19:13:46.571953+00:00|2019-07-10T19:13:46.571953+00:00,2020-09-28T18:56:22.334294+00:00|2020-09-28T18:56:22.334294+00:00,8|8,Binary black-hole simulation SXS:BBH:1757 | Binary black-hole simulation SXS:BBH:1757
3308162,2,1,True,2019-07-10T19:14:20.214246+00:00|2019-07-10T19:14:20.214246+00:00,2020-09-28T18:56:17.942400+00:00|2020-09-28T18:56:17.942400+00:00,8|8,Binary black-hole simulation SXS:BBH:1862 | Binary black-hole simulation SXS:BBH:1862
3308173,2,1,True,2019-07-10T19:14:50.629690+00:00|2019-07-10T19:14:50.629690+00:00,2020-09-28T18:56:13.640965+00:00|2020-09-28T18:56:13.640965+00:00,8|8,Binary black-hole simulation SXS:BBH:1660 | Binary black-hole simulation SXS:BBH:1660
3308188,2,1,True,2019-07-10T19:15:25.264075+00:00|2019-07-10T19:15:25.264075+00:00,2020-09-28T18:56:09.279903+00:00|2020-09-28T18:56:09.279903+00:00,8|8,Binary black-hole simulation SXS:BBH:1616 | Binary black-hole simulation SXS:BBH:1616
3308202,2,1,True,2019-07-10T19:15:57.853220+00:00|2019-07-10T19:15:57.853220+00:00,2020-09-28T18:54:43.500847+00:00|2020-09-28T18:54:43.500847+00:00,8|8,Binary black-hole simulation SXS:BBH:2024 | Binary black-hole simulation SXS:BBH:2024
3308223,2,1,True,2019-07-10T19:16:43.459045+00:00|2019-07-10T19:16:43.459045+00:00,2020-09-28T18:54:39.088577+00:00|2020-09-28T18:54:39.088577+00:00,8|8,Binary black-hole simulation SXS:BBH:1658 | Binary black-hole simulation SXS:BBH:1658
3308240,2,1,True,2019-07-10T19:17:18.281208+00:00|2019-07-10T19:17:18.281208+00:00,2020-09-28T18:54:34.617415+00:00|2020-09-28T18:54:34.617415+00:00,8|8,Binary black-hole simulation SXS:BBH:1642 | Binary black-hole simulation SXS:BBH:1642
3308251,2,1,True,2019-07-10T19:17:49.997015+00:00|2019-07-10T19:17:49.997015+00:00,2020-09-28T18:54:30.255924+00:00|2020-09-28T18:54:30.255924+00:00,8|8,Binary black-hole simulation SXS:BBH:1560 | Binary black-hole simulation SXS:BBH:1560
3308264,2,1,True,2019-07-10T19:18:20.974849+00:00|2019-07-10T19:18:20.974849+00:00,2020-09-28T18:54:25.884570+00:00|2020-09-28T18:54:25.884570+00:00,8|8,Binary black-hole simulation SXS:BBH:1985 | Binary black-hole simulation SXS:BBH:1985
3308277,2,1,True,2019-07-10T19:18:51.079721+00:00|2019-07-10T19:18:51.079721+00:00,2020-09-28T18:54:20.739235+00:00|2020-09-28T18:54:20.739235+00:00,8|8,Binary black-hole simulation SXS:BBH:1754 | Binary black-hole simulation SXS:BBH:1754
3308290,2,1,True,2019-07-10T19:19:25.031306+00:00|2019-07-10T19:19:25.031306+00:00,2020-09-28T21:46:16.255491+00:00|2020-09-28T21:46:16.255491+00:00,8|8,Binary black-hole simulation SXS:BBH:1538 | Binary black-hole simulation SXS:BBH:1538
3308305,2,1,True,2019-07-10T19:19:57.582857+00:00|2019-07-10T19:19:57.582857+00:00,2020-09-28T21:46:12.081792+00:00|2020-09-28T21:46:12.081792+00:00,8|8,Binary black-hole simulation SXS:BBH:1514 | Binary black-hole simulation SXS:BBH:1514
3308321,2,1,True,2019-07-10T19:20:28.670528+00:00|2019-07-10T19:20:28.670528+00:00,2020-09-28T21:46:07.927129+00:00|2020-09-28T21:46:07.927129+00:00,8|8,Binary black-hole simulation SXS:BBH:1959 | Binary black-hole simulation SXS:BBH:1959
3308338,2,1,True,2019-07-10T19:21:10.267500+00:00|2019-07-10T19:21:10.267500+00:00,2020-09-28T21:45:58.480503+00:00|2020-09-28T21:45:58.480503+00:00,8|8,Binary black-hole simulation SXS:BBH:1800 | Binary black-hole simulation SXS:BBH:1800
3308351,2,1,True,2019-07-10T19:21:40.709172+00:00|2019-07-10T19:21:40.709172+00:00,2020-09-28T21:45:54.209697+00:00|2020-09-28T21:45:54.209697+00:00,8|8,Binary black-hole simulation SXS:BBH:1801 | Binary black-hole simulation SXS:BBH:1801
3308364,2,1,True,2019-07-10T19:22:10.770453+00:00|2019-07-10T19:22:10.770453+00:00,2020-09-28T21:47:56.369864+00:00|2020-09-28T21:47:56.369864+00:00,8|8,Binary black-hole simulation SXS:BBH:2032 | Binary black-hole simulation SXS:BBH:2032
3308381,2,1,True,2019-07-10T19:22:52.166623+00:00|2019-07-10T19:22:52.166623+00:00,2020-09-28T21:47:47.430143+00:00|2020-09-28T21:47:47.430143+00:00,8|8,Binary black-hole simulation SXS:BBH:1631 | Binary black-hole simulation SXS:BBH:1631
